creation_datetime,last_change_datetime,id,racer_id,track_id,name
2024-02-01 11:35:49.198382,2024-02-01 11:35:49.198390,1,1,2,Racer: Francisco Matos Gil in Track: Baltar
2024-02-01 11:35:49.390326,2024-02-01 11:35:49.390345,2,4,2,Racer: Dinis Brito e Faro in Track: Baltar
2024-02-01 11:35:49.516641,2024-02-01 11:35:49.516713,3,13,2,Racer: Miguel Sousa Guedes in Track: Baltar
2024-02-01 11:35:49.688994,2024-02-01 11:35:49.689005,4,5,2,Racer: Alexandre Campelo in Track: Baltar
2024-02-01 11:35:49.797069,2024-02-01 11:35:49.797078,5,8,2,Racer: Francisco Lima in Track: Baltar
2024-02-01 11:35:49.869780,2024-02-01 11:35:49.869787,6,2,2,Racer: João Couceiro in Track: Baltar
2024-02-01 11:35:49.962693,2024-02-01 11:35:49.962699,7,17,2,Racer: Gonçalo Ramalho in Track: Baltar
2024-02-01 11:35:50.027447,2024-02-01 11:35:50.027456,8,12,2,Racer: Gonçalo Garrett in Track: Baltar
2024-02-01 11:35:50.101032,2024-02-01 11:35:50.101039,9,16,2,Racer: António Guimarães in Track: Baltar
2024-02-01 11:35:50.251995,2024-02-01 11:35:50.252003,10,18,2,Racer: Meco Guedes in Track: Baltar
2024-02-01 11:35:50.399399,2024-02-01 11:35:50.399406,11,15,2,Racer: José Pedro Raimundo in Track: Baltar
2024-02-01 11:35:50.491398,2024-02-01 11:35:50.491418,12,7,2,Racer: Henrique Vilas in Track: Baltar
2024-02-01 11:35:50.548221,2024-02-01 11:35:50.548229,13,14,2,Racer: Tomás Marrana in Track: Baltar
2024-02-01 11:35:50.571472,2024-02-01 11:35:50.571475,14,10,2,Racer: Francisco Freitas in Track: Baltar
2024-02-01 11:35:50.598698,2024-02-01 11:35:50.598706,15,19,2,Racer: Martinho Brito in Track: Baltar
2024-02-01 11:35:50.634302,2024-02-01 11:35:50.634306,16,20,2,Racer: Manuel Bruschy in Track: Baltar
2024-02-01 11:41:07.915033,2024-02-01 11:41:07.915040,17,5,3,Racer: Alexandre Campelo in Track: Fafe
2024-02-01 11:41:07.994736,2024-02-01 11:41:07.994742,18,11,3,Racer: Luís Dias in Track: Fafe
2024-02-01 11:41:08.073231,2024-02-01 11:41:08.073240,19,3,3,Racer: Miguel Caeiro in Track: Fafe
2024-02-01 11:41:08.211675,2024-02-01 11:41:08.211684,20,2,3,Racer: João Couceiro in Track: Fafe
